iter	Passed	Remaining
0	89	13370
1	110	8145
2	122	6008
3	155	5681
4	206	5987
5	238	5718
6	279	5706
7	316	5617
8	343	5387
9	384	5382
10	403	5093
11	435	5002
12	498	5250
13	526	5113
14	580	5225
15	602	5046
16	639	5006
17	683	5011
18	723	4987
19	763	4963
20	855	5252
21	872	5077
22	893	4932
23	907	4762
24	938	4691
25	973	4643
26	1064	4848
27	1107	4823
28	1138	4752
29	1190	4762
30	1199	4606
31	1298	4789
32	1305	4629
33	1373	4685
34	1393	4579
35	1439	4559
36	1474	4504
37	1504	4433
38	1523	4335
39	1554	4276
40	1581	4204
41	1643	4225
42	1678	4176
43	1709	4118
44	1744	4071
45	1773	4010
46	1800	3946
47	1814	3855
48	1829	3771
49	1843	3687
50	1865	3621
51	1878	3541
52	1896	3470
53	1927	3426
54	1957	3380
55	1972	3310
56	1986	3241
57	2006	3182
58	2032	3135
59	2050	3076
60	2086	3043
61	2105	2987
62	2128	2939
63	2145	2883
64	2165	2832
65	2195	2794
66	2210	2738
67	2237	2697
68	2256	2648
69	2278	2604
70	2295	2554
71	2311	2504
72	2327	2455
73	2342	2406
74	2359	2359775	2381	2318
76	2398	2273
77	2416	2230
78	2434	2188
79	2451	2145
80	2466	2101881	2485	2060882	2504	2021883	2521	1981884	2547	1948885	2566	1909886	2585	1872887	2601	1832888	2619	1795889	2641	1761990	2669	1730991	2739	1726992	2756	1689993	2772	1651994	2789	1614995	2802	1576996	2818	1540997	2831	1502998	2846	1466999	2857	14281100	2875	1394101	2862	1347
102	2879	1313
103	2895	1280
104	2912	1248
105	2928	1215
106	2942	1182
107	2959	1150
1108	3000	11281109	3015	1096110	3002	1054
1111	3046	10331112	3065	10011113	3083	9711114	3098	9411115	3116	9111116	3133	8811117	3155	8511118	3172	8211119	3189	79120	3177	761
121	3207	736
122	3225	708
123	3246	680
124	3269	653
125	3289	626
126	3309	599
127	3328	572
128	3350	545
129	3369	518
130	3393	492
131	3418	466
132	3441	439
133	3463	413
134	3488	387
135	3507	361
136	3527	334
137	3552	308
138	3572	282
139	3592	256
140	3608	230
141	3624	204
142	3640	178
143	3657	152
144	3671	126
145	3688	101
146	3707	75
147	3734	50
148	3748	25
149	3756	0


