iter	Logloss
0	0.6810295331
1	0.6725189496
2	0.6679703126
3	0.6622052234
4	0.6590532262
5	0.6523208368
6	0.6481392574
7	0.6428448328	8	0.6395108099	9	0.63590744
10	0.6331537555
11	0.6277864035
12	0.6256250636113	0.6239159271414	0.61959895215	0.6159635989
16	0.6143378956
17	0.6131960829
118	0.609433887919	0.6085078396
22020	0.6031517021	21	0.6013278622	22	0.6009230723	0.5995924587
24	0.5964757736
25	0.5954616676
26	0.5948841055
27	0.5904913062
28	0.5895877418
29	0.5891316459
30	0.5913599859
31	0.5909946102
32	0.5908019059
33	0.5841826634
34	0.5837563728
35	0.582225876
36	0.5813218856
37	0.5811458823
38	0.5800790409
39	0.579195944
40	0.5790539416
41	0.5783138752
42	0.5771473006
43	0.5757748485
44	0.5754415566
45	0.5745909825
46	0.5738483936
47	0.573504499
48	0.573390088
49	0.5729954208
50	0.5721190072
51	0.5715067366
52	0.5709382015
53	0.5702437634
54	0.5700387356
55	0.5699222152
56	0.5698388297
57	0.5695177726
58	0.5690604046
59	0.5689687155
60	0.5684642768
61	0.5684024734
62	0.5681149953
63	0.5676516243
64	0.5675894762
65	0.5675172224
66	0.5674619954
67	0.5670920088
68	0.5670366591
69	0.5667672444
70	0.5664345301
71	0.5663694817
72	0.5663270934
73	0.5660055423
74	0.5655915697575	0.5650143302
76	0.5649620625777	0.5645830163778	0.5643173654779	0.564264133
80	0.5639365167881	0.5634008608882	0.5633498223883	0.5631263029884	0.5628424749885	0.5624146349886	0.5619654929887	0.5619162228888	0.5617178498989	0.5615208999090	0.5611690959191	0.5610149629292	0.5608212079393	0.5607891229494	0.5606682359595	0.5604977819696	0.5599914579797	0.5598965939898	0.5597561509999	0.55947346810100	0.559342560101	0.5585662957
102	0.5584681295
103	0.5584299856
104	0.5583947993
105	0.5583383584
106	0.5583008069
107	0.5581833357
108	0.5586813712
109	0.5584841739
110	0.5579137959
111	0.5583471267
112	0.5583037294
113	0.5580788477
114	0.5578317164
115	0.5576904976
116	0.5576520673
117	0.55761896731118	0.55753848441119	0.5573475072120	0.5566485123
121	0.5564973012
122	0.5563896098
123	0.556117752
124	0.5558578067
125	0.5557358831
126	0.5556092987
127	0.5555740378
128	0.555535435
129	0.5553755283
130	0.555344081
131	0.5552313448
132	0.5550558274
133	0.5550327061
134	0.5549165672
135	0.5547854602
136	0.5547296068
137	0.5546868897
138	0.554652944
139	0.5545773162
140	0.5544801604
141	0.5544352629
142	0.5542999228
143	0.5542002385
144	0.5540790193
145	0.5540466653
146	0.5540129504
147	0.5538433376
148	0.5537766083
149	0.5536729896
97
