iter	Passed	Remaining
418	2689	3729
419	2697	3724
420	2703	3718
421	2709	3711
422	2715	3704
423	2721	3697
424	2727	3690
425	2733	3683
426	2739	3676
427	2745	3669
428	2751	3662
429	2757	3655
430	2763	3648
431	2769	3641
432	2775	3634
433	2782	3628
434	2787	3620
435	2793	3614
436	2799	3607
437	2806	3600
438	2812	3594
439	2818	3587
440	2824	3580
441	2831	3574
442	2837	3567
443	2843	3560
444	2849	3553
445	2855	3546
446	2861	3539
447	2867	3532
448	2873	3525
449	2878	3518
450	2884	3511
451	2890	3504
452	2897	3498
453	2903	3491
454	2909	3485
455	2915	3478
456	2921	3471
457	2927	3464
458	2933	3457
459	2939	3450
460	2945	3443
461	2951	3436
462	2956	3429
463	2962	3422
464	2968	3415
465	2974	3408
466	2980	3401
467	2985	3394
468	2992	3387
469	2998	3381
470	3004	3374
471	3010	3367
472	3016	3361
473	3022	3354
474	3028	3347
475	3034	3340
476	3040	3333
477	3046	3326
478	3052	3320
479	3058	3313
480	3064	3306
481	3070	3299
482	3076	3293
483	3082	3286
484	3088	3280
485	3094	3273
486	3100	3266
487	3106	3259
488	3113	3253
489	3118	3245
490	3124	3239
491	3130	3232
492	3136	3225
493	3142	3219
494	3148	3212
495	3154	3205
496	3160	3198
497	3166	3191
498	3172	3185
499	3178	3178
500	3184	3171
501	3190	3164
502	3196	3158
503	3202	3151
504	3208	3145
505	3214	3138
506	3220	3131
507	3226	3124
508	3232	3118
509	3238	3111
510	3244	3104
511	3250	3097
512	3256	3090
513	3262	3084
514	3267	3077
515	3273	3070
516	3279	3063
517	3285	3056
518	3290	3049
519	3297	3043
520	3303	3037
521	3309	3030
522	3315	3024
523	3322	3018
524	3328	3011
525	3333	3004
526	3340	2997
527	3347	2992
528	3356	2988
529	3363	2982
530	3369	2976
531	3375	2969
532	3381	2963
533	3388	2957
534	3394	2950
535	3400	2944
536	3406	2937
537	3412	2930
538	3418	2924
539	3424	2917
540	3430	2910
541	3436	2904
542	3443	2897
543	3449	2891
544	3455	2884
545	3461	2877
546	3467	2871
547	3473	2864
548	3478	2857
549	3484	2850
550	3490	2844
551	3496	2837
552	3502	2831
553	3508	2824
554	3514	2817
555	3520	2811
556	3526	2804
557	3532	2798
558	3538	2791
559	3544	2784
560	3550	2778
561	3556	2771
562	3563	2765
563	3572	2761
564	3579	2756
565	3585	2749
566	3591	2743
567	3597	2736
568	3603	2729
569	3609	2723
570	3615	2716
571	3621	2709
572	3627	2702
573	3632	2696
574	3639	2689
575	3645	2683
576	3650	2676
577	3656	2669
578	3662	2663
579	3668	2656
580	3674	2650
581	3680	2643
582	3686	2636
583	3692	2630
584	3698	2623
585	3704	2616
586	3710	2610
587	3716	2604
588	3722	2597
589	3727	2590
590	3733	2583
591	3739	2577
592	3745	2570
593	3752	2564
594	3758	2558
595	3764	2551
596	3769	2544
597	3775	2538
598	3782	2532
599	3788	2525
600	3794	2518
601	3800	2512
602	3806	2506
603	3812	2499
604	3818	2493
605	3824	2486
606	3830	2480
607	3837	2474
608	3844	2467
609	3849	2461
610	3855	2454
611	3861	2448
612	3867	2441
613	3873	2435
614	3879	2428
615	3885	2422
616	3891	2415
617	3897	2409
618	3903	2402
619	3909	2396
620	3915	2389
621	3921	2383
622	3927	2376
623	3933	2370
624	3939	2363
625	3945	2357
626	3951	2350
627	3957	2344
628	3963	2337
629	3969	2331
630	3975	2324
631	3981	2318
632	3987	2312
633	3993	2305
634	3999	2299
635	4005	2292
636	4011	2286
637	4018	2279
638	4023	2273
639	4029	2266
640	4035	2260
641	4041	2253
642	4047	2247
643	4053	2240
644	4059	2234
645	4065	2228
646	4071	2221
647	4078	2215
648	4083	2208
649	4089	2202
650	4095	2195
651	4100	2188
652	4106	2182
653	4112	2175
654	4118	2169
655	4124	2162
656	4130	2156
657	4136	2150
658	4142	2143
659	4149	2137
660	4154	2130
661	4160	2124
662	4166	2117
663	4172	2111
664	4178	2104
665	4184	2098
666	4190	2091
667	4196	2085
668	4202	2079
669	4207	2072
670	4213	2066
671	4219	2059
672	4225	2053
673	4231	2046
674	4238	2040
675	4243	2033
676	4249	2027
677	4255	2020
678	4261	2014
679	4267	2008
680	4273	2001
681	4279	1995
682	4285	1988
683	4290	1982
684	4296	1975
685	4302	1969
686	4308	1962
687	4314	1956
688	4320	1950
689	4326	1943
690	4332	1937
691	4338	1930
692	4344	1924
693	4350	1918
