iter	Logloss
0	0.6571325875
1	0.6319342461
2	0.6026334375
3	0.5853320954
4	0.5515938574
5	0.5383141445
6	0.5126132714
7	0.4984014173
8	0.4853593373
9	0.4784550008
10	0.4687540715
11	0.4593805823
12	0.454014636
13	0.4460701349
14	0.4413606242
15	0.436543155
16	0.4239702895
17	0.4195621891
18	0.4085572447
19	0.40452242
20	0.4009819988
21	0.3909842838
22	0.3888314269
23	0.3829793084
24	0.380574947
25	0.3787738495
26	0.3721645875
27	0.3681359689
28	0.3618294185
29	0.3568745631
30	0.354193406
31	0.3508815888
32	0.3486174532
33	0.3442434906
34	0.3427288525
35	0.3418611543
36	0.3409068567
37	0.3377698391
38	0.3343397642
39	0.333509112
40	0.3310467789
41	0.3292863373
42	0.3273029405
43	0.3263268004
44	0.3245420977
45	0.3236646695
46	0.3230241658
47	0.3206573693
48	0.3201087455
49	0.3136108354
50	0.3104503639
51	0.3076064918
52	0.3069299228
53	0.3055044158
54	0.305019181
55	0.3036653674
56	0.3011599936
57	0.3006339922
58	0.2991743192
59	0.298285788
60	0.2978053714
61	0.294003408
62	0.293607347
63	0.2912918702
64	0.2870255445
65	0.2864832566
66	0.286048203
67	0.283916598
68	0.2835411493
69	0.2829891176
70	0.2805926217
71	0.2794768276
72	0.2790088478
73	0.278703262
74	0.2777426766
75	0.2772253547
76	0.2748179443
77	0.2738030233
78	0.273431614
79	0.2730938069
80	0.2721068415
81	0.2716912057
82	0.271370807
83	0.2711387376
84	0.2705123726
85	0.2700332919
86	0.2690598445
87	0.2687275838
88	0.2678511455
89	0.2653819135
90	0.2650297629
91	0.2632649806
92	0.2619501693
93	0.2615879121
94	0.25952686
95	0.2585320864
96	0.2573180438
97	0.2560025543
98	0.2557299769
99	0.2548429895
100	0.2538006809
101	0.2532043961
102	0.2528039961
103	0.2517398508
104	0.2510168949
105	0.2503818658
106	0.2500304683
107	0.2494013892
108	0.2491880294
109	0.2485197269
110	0.2477868889
111	0.2475411197
112	0.247303051
113	0.2470668256
114	0.2456979674
115	0.2453725376
116	0.2450189196
117	0.2447720935
118	0.2443579016
119	0.2440693046
120	0.243851555
121	0.2435968972
122	0.2432061999
123	0.2428936053
124	0.2419087949
125	0.2414587405
126	0.2411837492
127	0.2409791475
128	0.2403089804
129	0.239408918
130	0.2390179086
131	0.2381527993
132	0.2379781954
133	0.2376789055
134	0.2368147331
135	0.2365642263
136	0.2363851563
137	0.2358694007
138	0.2341659306
139	0.233868818
140	0.2336168938
141	0.233421581
142	0.2332924739
143	0.233120741
144	0.2324051647
145	0.2321472397
146	0.2319871991
147	0.2313392802
148	0.2305875388
149	0.2304163737
150	0.2302291756
151	0.2300385711
152	0.229626397
153	0.229133027
154	0.2287907821
155	0.2277514329
156	0.2275846553
157	0.2271155153
158	0.2260366136
159	0.2256712221
160	0.2251533578
161	0.2250092627
162	0.2248596008
163	0.2246975784
164	0.224440277
165	0.224120917
166	0.2238584511
167	0.2236111301
168	0.2234240352
169	0.2231455672
170	0.2229977654
171	0.2227022422
172	0.2223652206
173	0.2213636066
174	0.2211538085
175	0.2207059881
176	0.220547727
177	0.2203704514
178	0.2196485396
179	0.219422392
180	0.2190255674
181	0.2188391581
182	0.2187009893
183	0.2184286039
184	0.2181216094
185	0.2179587188
186	0.2178008964
187	0.2176530302
188	0.2174633516
189	0.2173011856
190	0.2167855298
191	0.2166601718
192	0.2164036815
193	0.2162479399
194	0.2158676717
195	0.2152229435
196	0.2150136699
197	0.2147560497
198	0.2146067904
199	0.2141421897
200	0.2134097502
201	0.213281302
202	0.2130693519
203	0.2128986592
204	0.2125788658
205	0.2118923858
206	0.2116703481
207	0.2114657295
208	0.2112642604
209	0.2111746789
210	0.2110141767
211	0.2109003109
212	0.2107075463
213	0.2105170096
214	0.2103237049
215	0.2101115688
216	0.2099595659
217	0.2098612109
218	0.2092810997
219	0.2089033462
220	0.2084576449
221	0.2080384231
222	0.2076625981
223	0.2073972857
224	0.207166719
225	0.2067307675
226	0.2063103885
227	0.2061117382
228	0.2059920934
229	0.2058320954
230	0.2056732004
231	0.2055516903
232	0.2054136058
233	0.2052622769
234	0.2049255511
235	0.2046566222
236	0.2042261854
237	0.2041192103
238	0.203730096
239	0.2035869417
240	0.2034529368
241	0.20322627
242	0.2029536171
243	0.2027907472
244	0.2026450681
245	0.2025150849
246	0.2024048044
247	0.202297123
248	0.2020861093
249	0.2019573273
250	0.2018805203
251	0.2016936771
252	0.2014536162
253	0.2013307152
254	0.2012312476
255	0.2011171842
256	0.200903373
257	0.2007680598
258	0.2006098909
259	0.2000843946
260	0.1999661379
261	0.1998368356
262	0.1997274247
263	0.1996082353
264	0.1995270475
265	0.1994059288
266	0.1992000955
267	0.1990882359
268	0.1989767717
269	0.1987860373
270	0.198696479
271	0.1985551051
272	0.1984329919
273	0.1982981298
274	0.1981441917
275	0.1980014872
276	0.1976718715
277	0.197601476
278	0.1974889245
279	0.1973370785
280	0.1970352378
281	0.1968708426
282	0.1967407419
283	0.1963156864
284	0.1961977289
285	0.1960383138
286	0.1959120135
287	0.1957748778
288	0.1956928048
289	0.1955841706
290	0.1954793677
291	0.1953242017
292	0.1952091378
293	0.195064174
294	0.1949889367
295	0.1948006263
296	0.1946454542
297	0.1945465225
298	0.1944120522
299	0.1943096815
300	0.1941887525
301	0.1940755008
302	0.19395071
303	0.1938423146
304	0.1937291821
305	0.1936311837
306	0.1934990435
307	0.1933721201
308	0.1931943498
309	0.1931064742
310	0.1928604345
311	0.1927330472
312	0.1925777718
313	0.1924788522
314	0.1923609596
315	0.1922273037
316	0.191888149
317	0.1917824399
318	0.1916826044
319	0.191559793
320	0.1912061773
321	0.1910895052
322	0.1909638785
323	0.1908737962
324	0.190725508
325	0.1905727431
326	0.1904415219
327	0.1902983049
328	0.1901691093
329	0.1900816425
330	0.1899782555
331	0.1898884928
332	0.1897283785
333	0.1896009324
334	0.189484808
335	0.1892411358
336	0.1891216373
337	0.1889126992
338	0.1888465372
339	0.188695674
340	0.1886057205
341	0.1884916968
342	0.1883707164
343	0.1882735141
344	0.1881760822
345	0.1880918679
346	0.1879946291
347	0.1879090701
348	0.1877103655
349	0.1875903995
350	0.187512695
351	0.1871823341
352	0.1870726758
353	0.1868775685
354	0.1867962606
355	0.186668173
356	0.1865779415
357	0.1864996516
358	0.1863056334
359	0.1860755352
360	0.1859785556
361	0.1858937993
362	0.1857991948
363	0.1857305819
364	0.1856146698
365	0.1854765349
366	0.185305833
367	0.1851869382
368	0.1850896193
369	0.1849328188
370	0.1846925616
371	0.1846173812
372	0.1845132005
373	0.1843878485
374	0.1843111543
375	0.1842340368
376	0.1841093858
377	0.1839006931
378	0.1837902669
379	0.183649251
380	0.1835479706
381	0.1834636469
382	0.1831138751
383	0.1830248294
384	0.1829172707
385	0.1828362425
386	0.182734654
387	0.1825941668
388	0.182502305
389	0.1823817411
390	0.1821655545
391	0.1820422611
392	0.1819417646
393	0.181845423
394	0.1817750109
395	0.1815037366
396	0.1814193777
397	0.181321171
398	0.1806130524
399	0.1805223185
400	0.1804384737
401	0.180295888
402	0.1801728189
403	0.1801138393
404	0.1800210733
405	0.1798771864
406	0.1797964309
407	0.1797136865
408	0.1796352309
409	0.1793664425
410	0.1793049958
411	0.1791901012
412	0.1791213692
413	0.1790096875
414	0.178922364
415	0.1788410938
416	0.1787415514
417	0.1786213213
418	0.178517953
419	0.1784059765
420	0.1782902738
421	0.1781728174
422	0.178085751
423	0.1780059721
424	0.1778949481
425	0.177637419
426	0.1775468692
427	0.1773781919
428	0.177319144
429	0.1772183319
430	0.1771446265
431	0.1770715372
432	0.1769683156
433	0.1768455689
434	0.1767751338
435	0.1766479298
436	0.1765601485
437	0.1764522892
438	0.1763750048
439	0.1762811656
440	0.1759911862
441	0.1758966892
442	0.1758264843
443	0.1757346269
444	0.1756617718
445	0.1756017583
446	0.1755153742
447	0.1753631151
448	0.1752908392
449	0.1752269586
450	0.1751367371
451	0.1750240025
452	0.1749164747
453	0.1748383828
454	0.1746218505
455	0.1745333933
456	0.1744106901
457	0.1742714951
458	0.1738708324
459	0.1737524297
460	0.1736547732
461	0.173550306
462	0.1734780472
463	0.1733883221
464	0.1732914674
465	0.1732351577
466	0.1731792069
467	0.1731280878
468	0.1730495204
469	0.1729822975
470	0.1729398988
471	0.1728546512
472	0.172774544
473	0.172671747
474	0.1726023243
475	0.172503772
476	0.172443402
477	0.1723697348
478	0.1722622319
479	0.1721386368
480	0.1720763902
481	0.1720472973
482	0.1719741771
483	0.1718914876
484	0.1717793952
485	0.1716678855
486	0.1715781984
487	0.1715174858
488	0.171446438
489	0.1713884662
490	0.1713100915
491	0.1712480668
492	0.1712047701
493	0.1711166954
494	0.171019841
495	0.1709513033
496	0.1709075868
497	0.1708519482
498	0.1707825042
499	0.1707159142
500	0.170605511
501	0.1705709826
502	0.1704680313
503	0.1704027612
504	0.1703121064
505	0.1702013741
506	0.1700802766
507	0.1700141288
508	0.1699297855
509	0.1698654094
510	0.169799257
511	0.1697335344
512	0.1697009479
513	0.1696338686
514	0.1695574174
515	0.1694878096
516	0.1693693458
517	0.1693314834
518	0.1692597269
519	0.1692000187
520	0.1691341803
521	0.1690130738
522	0.1688430188
523	0.1686909918
524	0.1686388604
525	0.1685366991
526	0.1684601574
527	0.1683783963
528	0.1682750676
